english,current_arabic,corrected_arabic
Please sign in to continue.,برجاء تسجيل الدخول للمتابعة.,
present,حاضر,
absent,غائب,
late,متأخر,
excused,بعذر,
scheduled,مجدولة,
held,تم عقدها,
cancelled by teacher,ملغاة من المدرس,
cancelled by the centre,ملغاة من الأكاديمية,
moved,تم نقلها,
trial,تجريبي,
booked,محجوز,
not booked,غير محجوز,
paid,مدفوع,
unpaid,غير مدفوع,
draft,مسودة,
active,نشط,
archived,مؤرشف,
Admin,مدير,
Assistant,مساعد,
Teacher,المدرس,
Student,طالب,
Parent,ولي أمر,
queued,في الانتظار,
sent,تم الإرسال,
delivered,تم التسليم,
read,تمت القراءة,
failed,فشل,
Full name,الاسم الكامل,
Phone number,رقم الهاتف,
Create assistant,إنشاء حساب مساعد,
Assistant account created.,تم إنشاء حساب المساعد.,
That phone number is not valid. Use the format 01xxxxxxxxx.,رقم الهاتف غير صحيح. استخدم الصيغة 01xxxxxxxxx.,
New password issued,تم إصدار كلمة مرور جديدة,
You cannot deactivate your own account.,لا يمكنك إيقاف حسابك الخاص.,
Account deactivated.,تم إيقاف الحساب.,
Course name,اسم الكورس,
"Internal label, e.g. “November round — Mr Ahmed”",اسم داخلي، مثال: «راوند نوفمبر — مستر أحمد»,
Course type,نوع الكورس,
Description,الوصف,
Price (EGP),السعر (جنيه),
Start date,تاريخ البداية,
Allow trial session booking,السماح بحجز حصة تجريبية,
Cover image,صورة الغلاف,
"Images only (jpg, png, webp).",صور فقط (jpg، png، webp).,
Save course,حفظ الكورس,
Select teacher,اختر المدرس,
No course types are set up yet. Run “flask seed-course-types” first.,لم يتم إعداد أنواع الكورسات بعد. شغّل الأمر «flask seed-course-types» أولاً.,
Course created.,تم إنشاء الكورس.,
Course updated.,تم تحديث الكورس.,
Course archived.,تم أرشفة الكورس.,
%(student)s enrolled.,تم تسجيل %(student)s.,
Student removed from the course.,تم إزالة الطالب من الكورس.,
Choose a valid booking status.,اختر حالة حجز صحيحة.,
Booking status updated.,تم تحديث حالة الحجز.,
Choose a valid payment status.,اختر حالة دفع صحيحة.,
Payment status updated.,تم تحديث حالة الدفع.,
Amount updated.,تم تحديث المبلغ.,
Teacher name,اسم المدرس,
